id_solotodo,categoria_solotodo,marca,modelo,nombre_completo,tipo,combustible,consumo_bruto,rendimiento_n,cop_calor,poder_calorifico_bruto,rango_calefaccion,precio_max_c_iva_clp,tienda_precio_max,url_tienda_precio_max,precio_oferta_tienda_max_clp,precio_min_c_iva_clp,tienda_precio_min,num_tiendas_activas,tiendas_detalle,costo_instalacion_c_iva,mantencion_c_iva,otros,url_solotodo
401313,Aire Acondicionado Split,LG,VL122C31,LG VL122C31,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 12000 BTU/h,-,3.00 (Inverter Modo Calor),12000 BTU/h,No especificado,747465,LG Shop Panamá (USD conv),https://www.lgshop.com.pa/aire-acondicionado-artcool-lg-ai-air-12000-btu-vl122c31/p,747465,747465,LG Shop Panamá (USD conv),1,"LG Shop Panamá (USD conv): $747,465",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/401313
397955,Aire Acondicionado Split,Samsung,AR70H12CAEBN / AR70H12CAEBX / AR70H12CAEB/ZS,Samsung AR70H12CAEBN / AR70H12CAEBX / AR70H12CAEB/ZS,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,31.8 kWh/mes (Norma SEC),-,3.32 (Clase A),12000 BTU/h / 3510 W (Calefacción),No especificado,744821,Moreto,https://www.moretoclima.cl/inicio/aire-acondicionado-split-wind-free-pro-black-inverter-wi-fi-frio-calor-12000-btuhr,744821,629990,Portal del Aire,2,"Portal del Aire: $629,990 | Moreto: $744,821",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 586698 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/397955
154287,Aire Acondicionado Split,Samsung,AR24BSHQAUR/ZS,Samsung AR24BSHQAUR/ZS,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,54.7 kWh/mes (Norma SEC),-,3.21 (Clase B),24000 BTU/h / 6140 W (Calefacción),No especificado,739990,Falabella Marketplace (MIAIRECHILE),https://www.falabella.com/falabella-cl/product/133527415/Aire-Acondicionado-Samsung-24.000-BTU-Digital-Inverter-Frio-Calor/133527416,739990,722990,Falabella Marketplace (Emma House),2,"Falabella Marketplace (MIAIRECHILE): $739,990 | Falabella Marketplace (Emma House): $722,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 444431 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/154287
397952,Aire Acondicionado Split,LG,VX182CL31,LG VX182CL31,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 18000 BTU/h,-,3.00 (Inverter Modo Calor),18000 BTU/h,No especificado,731178,Jetstereo (HNL conv),https://www.jetstereo.com/product/combo-aa-lg-de-18-000btu-inverter-con-soporte-combo-vx182cl31,731178,503664,Venelectronics (USD conv),4,"SoyTechno (USD conv): $541,012 | La Ganga (USD conv): $592,842 | Venelectronics (USD conv): $503,664 | Jetstereo (HNL conv): $731,178",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/397952
174670,Aire Acondicionado Split,LG,VR242HW,LG VR242HW,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 24000 BTU/h,-,3.21 (Clase No Aplica),24000 BTU/h,No especificado,719990,Falabella,https://www.falabella.com/falabella-cl/product/17255351/Aire-Acondicionado-Split-Frio-Calor-Artcool-Inverter-24.000-BTU-Wifi-LG/17255351,719990,699990,Portal del Aire,2,"Falabella: $719,990 | Portal del Aire: $699,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 513749 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/174670
404274,Aire Acondicionado Split,Midea,ECOMASTER12K,Midea ECOMASTER12K,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 12000 BTU/h,-,3.21 (Clase A Inverter),12000 BTU/h / 3370 W (Calefacción),No especificado,719990,Falabella Marketplace (Midea),https://www.falabella.com/falabella-cl/product/156890895/aire-acondicionado-split-inverter-ecomaster-12000-btu/156890896,719990,575990,Mercado Libre (MIDEA CARRIER),2,"Falabella Marketplace (Midea): $719,990 | Mercado Libre (MIDEA CARRIER): $575,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/404274
363221,Aire Acondicionado Split,LG,VK242C31,LG VK242C31,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 24000 BTU/h,-,3.00 (Inverter Modo Calor),24000 BTU/h,No especificado,718555,Créditos Económicos (USD conv),https://www.crecos.com/aire-acondicionado-lg-vk242c31-24000-btu-inverter-color-blanco/p,718555,624827,LG Shop Ecuador (USD conv),3,"LG Shop Ecuador (USD conv): $624,827 | Créditos Económicos (USD conv): $718,555 | Almacenes Japón (USD conv): $718,555",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/363221
396654,Aire Acondicionado Split,Hisense,AS-22UW4RBTKA,Hisense AS-22UW4RBTKA,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,59.85 kWh/mes (Norma SEC),-,3.21 (Clase A),22000 BTU/h / 6400 W (Calefacción),No especificado,709990,Falabella Marketplace (MIAIRECHILE),https://www.falabella.com/falabella-cl/product/144745186/Aire-Acondicionado-Hisense-22000-BTU-Hi-Vida-Inverter-Expert/144745187,709990,579990,Portal del Aire,2,"Falabella Marketplace (MIAIRECHILE): $709,990 | Portal del Aire: $579,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 508541 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/396654
128629,Aire Acondicionado Split,Midea,XtremeSave MSAG11D-24HRDN1 / MOX430-24HFN1,Midea XtremeSave MSAG11D-24HRDN1 / MOX430-24HFN1,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,60.3 kWh/mes (Norma SEC),-,3.21 (Clase A),24000 BTU/h / 6448 W (Calefacción),No especificado,699990,Falabella Marketplace (MIAIRECHILE),https://www.falabella.com/falabella-cl/product/130368642/aire-acondicionado-midea-24-000-btu-inverter-wifi-ecomaster-ai/130368643,699990,699990,Falabella Marketplace (MIAIRECHILE),1,"Falabella Marketplace (MIAIRECHILE): $699,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 479802 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/128629
229711,Aire Acondicionado Split,Würden,18-CHL-IN2-2,Würden 18-CHL-IN2-2,Aire Acondicionado Split (Bomba de Calor Inverter),Electricidad,Capacidad 18000 BTU/h,-,3.00 (Inverter Modo Calor),18000 BTU/h,No especificado,689990,Sodimac,https://www.sodimac.cl/sodimac-cl/articulo/147990134/product/147990135,689990,689990,Sodimac,1,"Sodimac: $689,990",$ 100.000 (Técnico SEC / vacío cañerías),$ 40.000 / año (Filtros y presiones),Certificación SEC QR: 476773 | Tecnología Inverter | Apto zonas templadas/frías. En Zona H/I verificar curvas de descongelamiento (defrost) en subcero.,https://www.solotodo.cl/products/229711
